id;de;fr;en;it;
E.placeholder;Auswählen;Sélectionner;Select;Selezionare;
E08.nameDisplay;Heimische Pflanzen;Plantes indigènes;Native plants;Piante autoctone;
E08.text;08: Auf welcher Fläche wachsen weitgehend nur heimische Wildpflanzen? Markiere solche Flächen in der gezeigten Untersuchungsfläche. Benutze dazu das Polygon-Werkzeug.;08 : sur quelle surface ne poussent quasiment que des plantes sauvages indigènes ? Marque ces surfaces dans la zone d'étude représentée. Utilise pour cela l'outil polygone.;08: In which area do mainly only native wild plants grow? Indicate these areas in the study area shown. Use the polygon tool for this.;08: In quale area crescono solo piante selvatiche autoctone? Contrassegnate tali zone nell'area oggetto di studio mostrata. Utilizzare lo strumento poligono per fare questa operazione.;
E08.textInfo.text.1;"Zu heimischen Wildpflanzen gehören Blumen, Sträucher und Bäume, die natürlich hier wachsen.";"Les plantes sauvages indigènes sont les fleurs, les buissons et les arbres qui poussent naturellement ici.";"Native wild plants include flowers, shrubs, and trees that naturally grow here.";"Le piante selvatiche autoctone comprendono fiori, arbusti e alberi che crescono spontaneamente qui.";
E08.textInfo.text.2;Nicht dazu gehören:;N'en font pas partie:;This does not include:;Questo non include:;
E08.textInfo.text.3;"Sportrasen und Wiesen mit Gras, das immer kürzer ist als 10 cm. Solche Flächen werden nicht zu Flächen mit heimischen Wildpflanzen gezählt.";Les pelouses de sport et les prairies dont l'herbe est toujours plus courte que 10 cm. De telles surfaces ne sont pas comptées comme des surfaces d'espèces sauvages indigènes.;Sports fields and meadows with grass that is always shorter than 10 cm. These areas are not counted as areas with native wild plants.;Prati e prati sportivi con erba sempre più corta di 10 cm. Tali aree non sono conteggiate come aree con piante selvatiche autoctone.;
E09.options.label.0;weniger als 10 verschiedene Arten;moins de 10 espèces différentes;less than 10 different species;meno di 10 specie diverse;
E09.options.label.1;11 – 20 Arten;11 - 20 espèces;11 - 20 species;tra 11 e 20 specie;
E09.options.label.2;21 – 35 Arten;21 - 35 espèces;21 - 35 species;tra 21 e 35 specie;
E09.options.label.3;36 – 50 Arten;36 - 50 espèces;36 - 50 species;tra 36 e 50 specie;
