id;de;fr;en;it;
E.placeholder;Auswählen;;;;
T.textInfo.linkText;Zusatzinfos;Informations supplémentaires;Additional information;Informazioni aggiuntive;
groupA;Gruppe a;;;;
groupB;Gruppe b;;;;
groupC;Gruppe c;;;;
groupD;Gruppe d;;;;
groupE;Gruppe e;;;;
groupF;Gruppe f;;;;
instructionsProject;" Hinzufügen: <br>1.Im Editor auf «Fläche hinzufügen» klicken <br>2.Zu Vollbild wechseln  <br>3.Mit Einfach-Klicks Eckpunkte der Fläche einzeichnen.<br>4.Den letzten Punkt mit Doppelklick setzen.<br>5.Zum Abschliessen auf Schaltfläche «Hinzufügen» klicken.<br> <br>Bearbeiten <br>1.Im Editor auf «Fläche bearbeiten» klicken<br>2.Fläche einmal anklicken. <br>3.Sobald Fläche aktiviert ist, Fläche noch einmal anklicken. <br>4.Eckpunkte wie gewünscht verschieben. <br>5.Zum Abschliessen die Schaltfläche «Aktualisieren» anklicken. <br> <br>Löschen <br>1.Im Editor auf «Fläche bearbeiten» klicken <br>2.Fläche einmal anklicken. <br>5.Die Schaltfläche «Löschen» anklicken. <br>";;;;
P01.title;Regionalität der Pflanzen;Régionalité des plantes;Regionality of plants;Regionalità delle piante;
T01.title;"Heimische Wildpflanzen (08, 09)";"Plantes sauvages indigènes (08, 09)";"Native wild plants (08, 09)";"Piante selvatiche autoctone (08, 09)";
T01.textInfo.text;"Alle Arten einer Region bilden zusammen ein Nahrungsnetz.<br>Heimische Pflanzen sind die Grundlage von Nahrungsnetzen. Deshalb sollte es möglichst viele Flächen mit heimischen Wildpflanzen geben.";;"Together, all species in a region make up a food web.<br> Native plants are the basis of food webs. Therefore, there should be as many areas with native wild plants as possible.";;
E08.text;"08: Auf welcher Fläche wachsen weitgehend nur heimische Wildpflanzen? Markiere solche Flächen in der gezeigten Untersuchungsfläche. Benutze dazu das Polygon-Werkzeug.";;"08: In which area do mainly only native wild plants grow? Indicate these areas in the study area shown. Use the polygon tool for this.";;
E08.nameDisplay;Heimische Pflanzen;;Native plants;;
E08.textInfo.text.1;"Zu heimischen Wildpflanzen gehören Blumen, Sträucher und Bäume, die natürlich hier wachsen.";;"Native wild plants include flowers, shrubs, and trees that naturally grow here.";;
E08.textInfo.text.2;Nicht dazu gehören:;;This does not include:;;
E08.textInfo.text.3;"Sportrasen und Wiesen mit Gras, das immer kürzer ist als 10 cm. Solche Flächen werden nicht zu Flächen mit heimischen Wildpflanzen gezählt.";;Sports fields and meadows with grass that is always shorter than 10 cm. These areas are not counted as areas with native wild plants.;;
E09.text;09: Wie viele verschiedene Arten von Wildpflanzen wachsen auf der gesamten Untersuchungsfläche?;;09: How many different species of wild plants grow on the entire study area?;;
E09.options.label.0;weniger als 10 verschiedene Arten;;less than 10 different species;;
E09.options.label.1;11 – 20 Arten;;11 - 20 species;;
E09.options.label.2;21 – 35 Arten;;21 - 35 species;;
E09.options.label.3;36 – 50 Arten;;36 - 50 species;;
E09.options.label.4;mehr als 50 verschiedene Arten;;more than 50 different species;;
E09.textInfo.linkText;Hinweise zur Bestimmung von Pflanzen;;;;
E09.textInfo.text.1;"Benutze zur Bestimmung von Pflanzen ein Bestimmungsbuch mit farbigen Bildern. Oder fotografiere die Pflanze. Bestimme dann deine Pflanze mit";;;;
E09.textInfo.text.2;oder verwende eine der folgenden beiden Apps:;;;;
T02.title;"Schädliche gebietsfremde Pflanzen (invasive Neophyten)  (10, 10a, 10b)";;"Harmful non-native plants (invasive neophytes) (10, 10a, 10b)";;
E10.text;10: Gibt es im Untersuchungsgebiet schädliche gebietsfremde Pflanzen?;;10: Are there any harmful non-native plants in the study area?;;
E10.options.label.0;keine;;none;;
E10.options.label.1;eine Art von schädlichen gebietsfremden Pflanzen;;a type of harmful non-native plant;;
E10.options.label.2;mehr als eine Art von schädlichen gebietsfremden Pflanzen;;more than one type of harmful non-native plant;;
E10.textInfo.text.1;"Gebietsfremde Pflanzen sind Pflanzen, die natürlicher Weise nicht hier wachsen. Sie werden Neophyten genannt. Die meisten Neophyten sind harmlos. Es gibt aber Neophyten, die Probleme bereiten. Solche Neophyten sind schädlich. Die wichtigsten schädlichen Neophyten findest du unter:";;"Non-native plants are plants that do not grow naturally in the area. They are called neophytes. Most neophytes are harmless. However, some neophytes cause problems. Such neophytes are harmful. You can find the most important harmful neophytes under:";;
E10.textInfo.text.2;Beilage:;;;;
E10a.text;"10a: Wie gross ist die Fläche, die insgesamt durch alle schädlichen gebietsfremden Pflanzen bedeckt wird?";;10a: What is the total area covered by all harmful non-native plants?;;
E10a.options.label.0;kleiner als ein Parkplatz für ein Auto ;;smaller than a parking space for one car ;;
E10a.options.label.1;grösser als ein Parkplatz für ein Auto ;;Larger than a parking space for one car;;
E10b.text;"10b: Markiere alle Standorte mit schädlichen gebietsfremden Pflanzen und wähle alle Arten von Neophyten aus, die im Untersuchungsgebiet vorkommen. Das Dokument mit den Zusatzinfos zeigt dir die häufigsten und schädlichsten Neophyten.";;;;
E10b.nameDisplay;Neophyten;;Neophytes;;
P02.title;Strukturelemente;;;;
T03.textInfo.text.1;Strukturelemente sind einzelne Teile eines Lebensraums wie beispielsweise:;;Structural elements are individual parts of a habitat such as:;;
T03.textInfo.text.2;Bäume;;Trees;;
T03.textInfo.text.3;Sträucher;;Schrub;;
T03.textInfo.text.4;Blumenwiesen;;Flower meadows;;
T03.textInfo.text.5;Kiesflächen;;Gravel areas;;
T03.textInfo.text.6;Tümpel;;Pond;;
T03.textInfo.text.7;"Verschiedene Strukturelemente bieten verschiedenen Lebewesen Lebensraum und Nahrung. Je mehr verschiedene Strukturelemente, desto mehr verschiedene Arten gibt es auf einer Fläche.";;"Different structural elements provide habitat and food for different creatures. The more different structural elements, the more varieties of species there are in an area.";;
T04.title;Versiegelte Flächen (11);;Sealed surfaces (11);;
T04.text;"Auf einer versiegelten Fläche wachsen keine Pflanzen. Der Boden einer versiegelten Fläche ist ziemlich wasserdicht und luftdicht zugedeckt. Auf versiegelten Flächen kann deshalb Regenwasser nicht mehr in den Boden versickern.";;;;
T04.textInfo.linkText;Beispiele von versiegelten Flächen;;Examples of sealed surfaces;;
T04.textInfo.text.1;"Überall, wo Gebäude stehen: Asphalt, Teer";;"Everywhere where there are buildings: Asphalt, tar";;
T04.textInfo.text.2;Sportbelag;;Sports surface;;
E11.text;11: Markiere versiegelte Flächen in der gezeigten Untersuchungsfläche. Dazu gehören auch alle Gebäudeflächen.;;11: Select the sealed surfaces in the area shown. This includes all building surfaces.;;
E11.nameDisplay;Versiegelte Flächen;;Sealed surfaces;;
T05.title;Rasenflächen  (12);;Lawns (12);;
E12.text;12: Markiere Flächen mit Rasen in der gezeigten Untersuchungsfläche.;;12: Select the areas with lawns in the study area shown.;;
E12.nameDisplay;Rasenflächen;;Lawns;;
E12.textInfo.text.1;Sportrasen und Wiesen mit Gras, das immer kürzer ist als 10 cm. Solche Rasenflächen sind sehr arm an verschiedenen Lebewesen.;;Sports lawns and meadows with grass that is always shorter than 10 cm. Such lawns are very poor in various living organisms.;;
T06.title;Vielfalt der Flächen (13);;Diversity of areas (13);;
T06.text;"Verschiedene Flächen bieten verschiedenen Lebewesen Lebensraum und Nahrung. Je mehr verschiedenartige Flächen, desto mehr verschiedene Arten gibt es.";;"Diverse areas provide habitats and food for different organisms. The more diverse areas there are, the more different species there are.";;
T06.textInfo.linkText;Beispiele von verschiedenen Flächen;;Examples of different areas;;
T06.textInfo.text.1;Gemüsebeet;;Vegetable garden;;
T06.textInfo.text.2;Beet mit Wildblumen;;Wildflower bed;;
T06.textInfo.text.3;"Beispiele von Trockenstandorten: Kiesflächen, die nicht als Parkplatz genutzt werden";;"Examples of dry locations: Gravel areas that are not used as parking spaces";;
T06.textInfo.text.4;Sandflächen ohne Sprunggrube für Sport;;Sand areas without a jumping pit for sports;;
T06.textInfo.text.5;Flächen mit Geröll;;Areas with rocks;;
T06.textInfo.text.6;Blumenwiese;;Flower meadow;;
T06.textInfo.text.7;Gruppe von heimischen Sträuchern;;Group of native shrubs;;
T06.textInfo.text.8;Hecke mit heimischen Sträuchern;;Hedge with native shrubs;;
T06.textInfo.text.9;Heimische Bäume in deutlich unterschiedlichen Höhen;;Native trees of different heights;;
T06.textInfo.text.10;Tümpel;;Pond;;
T06.textInfo.text.11;Kleines Bächlein;;Small stream;;
E13a.text;13: Markiere alle vorhandenen Flächen-Elemente in der gezeigten Untersuchungsfläche. Klicken auf «Fläche hinzufügen» zeigt die Liste mit Flächen-Elementen. ;;13: Select all existing area elements in the shown study area. Clicking on "Add area" displays the list of area elements. ;;
E13a.options.label.0;weniger als 3 Strukturelemente vorhanden;;fewer than 3 structural elements present;;
E13a.options.label.1;"3 - 4 Strukturelemente, wovon eines der Strukturelemente mehr als die Hälfte der ganzen Untersuchungsfläche (= Arealfläche - Gebäudefläche) bedeckt";;"3 - 4 structural elements, one of which covers more than half of the entire study area (= area of the site - area of the building).";;
E13a.options.label.2;"3 - 4 Strukturelemente, keines der Strukturelemente bedeckt mehr als die Hälfte der ganzen Untersuchungsfläche";;"3 - 4 structural elements, none of the structural elements covers more than half of the entire study area";;
E13a.options.label.3;"5 Strukturelemente, wovon eines der Strukturelemente mehr als 40% der ganzen Untersuchungsfläche bedeckt";;"5 structural elements, of which one of the structural elements covers more than 40% of the entire study area";;
E13a.options.label.4;"5 Strukturelemente, keines der Strukturelemente bedeckt mehr als 40% der ganzen Untersuchungsfläche";;"5 structural elements, none of the structural elements covers more than 40% of the entire study area";;
E13a.options.label.5;"6 Strukturelemente, wovon eines der Strukturelemente mehr als 30% der ganzen Untersuchungsfläche bedeckt";;"6 structural elements, of which one of the structural elements covers more than 30% of the entire study area";;
E13a.options.label.6;"6 Strukturelemente, keines der Strukturelemente bedeckt mehr als 30% der ganzen Untersuchungsfläche";;"6 structural elements, none of the structural elements covers more than 30% of the entire study area";;
E13a.nameDisplay;Verschiedene Pflanzenflächen;;Various plant areas;;
T07.title;Baumschicht (14);;Tree layer (14);;
E14.text;14: Gibt es auf der Untersuchungsfläche Bäume?;;14: Are there any trees in the study area?;;
E14.options.label.0;"Keine Bäume vorhanden, die höher als 4 - 5 Meter sind.";;No trees are present that are taller than 4 - 5 metres.;;
E14.options.label.1;Nur 1 Baum vorhanden oder alle Bäume etwa gleich hoch.;;Only 1 tree is present or all trees about the same height.;;
E14.options.label.2;Bäume in zwei deutlich unterschiedlichen Höhen vorhanden.;;Trees are present in two distinctly different heights.;;
E14.options.label.3;Bäume in drei deutlich unterschiedlichen Höhen vorhanden.;;Trees are present in three distinctly different heights.;;
E14.textInfo.text.1;"Es zählen nur Bäume, die höher sind als drei erwachsene Menschen, die einander auf den Schultern stehen:";;Only trees taller than three adults standing on each other's shoulders count:;;
E14.textInfo.text.2;"Hoher Baum<br> Hohe Bäume bieten Nahrung und Unterschlupf für eine Vielzahl von Lebewesen.";;"Tall tree
Tall trees provide food and shelter for a variety of organisms.";;
E14.textInfo.text.3;heimische Bäume in deutlich unterschiedlichen Höhen;;Native trees of significantly different heights;;
E14a.text;14a: Sind insgesamt mindestens 3 verschiedene heimische Baumarten vorhanden?;;14a: Are there at least 3 different native tree species in total?;;
E14a.options.label.0;Ja;;Yes;;
E14a.options.label.1;Nein;;No;;
E14b.text;14b: Haben mindestens zwei der Bäume einen Umfang von mehr als 2 Metern?;;Do at least two of the trees have a circumference of more than 2 metres?;;
E14b.options.label.0;Ja;;Yes;;
E14b.options.label.1;Nein;;No;;
T08.textInfo;Sträucher ohne Hecken (15);;Shrubs without hedges;;
E15.text;15: Gibt es auf der Untersuchungsfläche Gruppen aus mindestens 5 Sträuchern?;;15: Are there groups of at least 5 shrubs in the study area?;;
E15.options.label.0;Keine Sträucher oder nur vereinzelte Sträucher vorhanden.;;No shrubs or only isolated shrubs present.;;
E15.options.label.1;Überwiegend nicht-heimische Sträucher vorhanden.;;Predominantly non-native shrubs present.;;
E15.options.label.2;1-3 Gruppen aus mindestens 5 Sträuchern vorhanden. Die meisten dieser Sträucher sind heimisch.;;1 - 3 groups of at least 5 shrubs present. Most of these shrubs are native.;;
E15.options.label.3;Mehr als 3 Gruppen aus mindestens 5 Sträuchern vorhanden. Die meisten dieser Sträucher sind heimisch.;;More than 3 groups of at least 5 shrubs present. Most of these shrubs are native.;;
E15.textInfo.text.1;"Vögel bauen ihre Nester gerne in Gruppierungen von heimischen Sträuchern. Auch kleine Säugetiere wie Mäuse, Schläfer oder Wiesel finden in Strauchgruppen Versteck und Nahrung. Gruppe von heimischen Sträuchern";;"Birds like to build their nests in groupings of native shrubs. Small mammals such as mice, dormice or weasels also find hiding places and food in groupings of shrubs. Group of native shrubs";;
E15a.text;15a: Insgesamt mehr als 5 verschiedene heimische Straucharten.;;15a: More than 5 different native shrub species in total.;;
E15a.options.label.0;Ja;;Yes;;
E15a.options.label.1;Nein;;No;;
T09.title;Hecken (16);;Hedges (16);;
E16.text;16: Gibt es auf der Untersuchungsfläche Hecken?;;16: Are there hedges on the study site?;;
E16.options.label.0;Keine Hecke vorhanden.;;No hedge present.;;
E16.options.label.1;Hecken vorhanden. Die Hecken bestehen aber überwiegend aus nicht-heimische Sträuchern.;;"Hedges are present. However, the hedges consist mainly of non-native shrubs.";;
E16.options.label.2;Eine Hecke von mindestens 4 Meter Länge. Die meisten der Sträucher der Hecke sind heimisch.;;A hedge of at least 4 metres in length. Most of the shrubs in the hedge are native.;;
E16.options.label.3;Mehr als eine Hecke von mindestens 4 Meter Länge. Die meisten der Sträucher der Hecke sind heimisch.;;More than one hedge of at least 4 metres in length. Most of the shrubs in the hedge are native.;;
